ticker,issuer,issuer_cik,confidence,buyer_count,total_value,titles,first_date,last_date,max_pct_of_holdings,has_officer,has_10b5_1,same_day_cluster,price_vs_market,new_position,offering_nearby,offering_forms,filing_urls
ENOV,Enovis CORP,0001420800,high,2,449599.21,Chief Administrative Officer; Chief Executive Officer,2026-09-02,2026-09-04,0.0839,True,False,False,varied:18.8-20.32,False,False,,https://www.sec.gov/Archives/edgar/data/1420800/0001193125-26-384027.txt | https://www.sec.gov/Archives/edgar/data/2105870/0001193125-26-384028.txt | https://www.sec.gov/Archives/edgar/data/2105870/0001193125-26-385615.txt
OPAL,OPAL Fuels Inc.,0001842279,high,2,177000.0,Co-Chief Executive Officer; Director,2026-08-31,2026-09-03,0.1021,True,False,False,varied:1.91-2.08,False,False,,https://www.sec.gov/Archives/edgar/data/1827382/0001628280-26-060107.txt | https://www.sec.gov/Archives/edgar/data/1933088/0001628280-26-060113.txt | https://www.sec.gov/Archives/edgar/data/1933088/0001628280-26-060916.txt
JUSH,Jushi Holdings Inc.,0001909747,high,2,173071.86,Chief Executive Officer; President,2026-08-31,2026-09-01,0.0525,True,False,False,varied:0.51-0.52,False,False,,https://www.sec.gov/Archives/edgar/data/1455939/0001628280-26-060096.txt | https://www.sec.gov/Archives/edgar/data/1939867/0001628280-26-060092.txt
UMBF,UMB FINANCIAL CORP,0000101382,high,2,135021.16,Director,2026-09-01,2026-09-01,0.0369,False,False,False,identical:139.6,False,False,,https://www.sec.gov/Archives/edgar/data/1267879/0000101382-26-000180.txt | https://www.sec.gov/Archives/edgar/data/1774955/0000101382-26-000181.txt
GRNT,"Granite Ridge Resources, Inc.",0001928446,high,2,55500.0,Chief Financial Officer; Director,2026-09-01,2026-09-04,0.0444,True,False,False,varied:5.04-5.05,False,False,,https://www.sec.gov/Archives/edgar/data/1928446/0001628280-26-060001.txt | https://www.sec.gov/Archives/edgar/data/1928446/0001628280-26-060851.txt
CSBB,"CSB Bancorp, Inc.",0000880417,high,2,47071.66,Director; President & CEO,2026-09-02,2026-09-03,0.3252,True,False,False,varied:73.51-76.99,False,False,,https://www.sec.gov/Archives/edgar/data/880417/0001193125-26-383385.txt | https://www.sec.gov/Archives/edgar/data/880417/0001193125-26-383388.txt
FRST,Primis Financial Corp.,0001325670,high,2,21543.0,Director,2026-09-01,2026-09-01,0.1362,False,False,False,varied:15.6-15.75,False,False,,https://www.sec.gov/Archives/edgar/data/1325670/0001193125-26-381412.txt | https://www.sec.gov/Archives/edgar/data/1364419/0001193125-26-381567.txt
CZNC,CITIZENS & NORTHERN CORP,0000810958,high,2,4866.91,Director,2026-09-04,2026-09-04,0.0034,False,True,False,identical:26.1662,False,False,,https://www.sec.gov/Archives/edgar/data/810958/0001667211-26-000026.txt | https://www.sec.gov/Archives/edgar/data/810958/0001870473-26-000028.txt
CEPL,"Capstone Energy Plus, Inc.",0001009759,high,2,0.0,Director,2026-09-01,2026-09-01,0.0,False,False,False,unpriced,False,False,,https://www.sec.gov/Archives/edgar/data/1009759/0001009759-26-000004.txt | https://www.sec.gov/Archives/edgar/data/1009759/0001009759-26-000006.txt
DYNR,"DYNARESOURCE, INC.",0001111741,high,2,0.0,Director,2026-09-01,2026-09-01,0.436,False,False,False,unpriced,False,False,,https://www.sec.gov/Archives/edgar/data/1111741/0001193125-26-385370.txt | https://www.sec.gov/Archives/edgar/data/1111741/0001667071-26-000004.txt
GPUS,"Hyperscale Data, Inc.",0000896493,review,4,966205.49,Chief Executive Officer; Chief Financial Officer; Executive Chairman; President and General Counsel,2026-09-01,2026-09-08,1.0,True,False,False,varied:0.1863-0.247,True,False,,https://www.sec.gov/Archives/edgar/data/1212502/0001214659-26-011359.txt | https://www.sec.gov/Archives/edgar/data/1212502/0001214659-26-011476.txt | https://www.sec.gov/Archives/edgar/data/1212502/0001214659-26-011521.txt | https://www.sec.gov/Archives/edgar/data/1327261/0001214659-26-011479.txt | https://www.sec.gov/Archives/edgar/data/1333268/0001214659-26-011360.txt | https://www.sec.gov/Archives/edgar/data/1333268/0001214659-26-011477.txt | https://www.sec.gov/Archives/edgar/data/896493/0001214659-26-011478.txt
NONE,Sixth Street Lending Partners,0001925309,suspect,5,47970072.3,Director; Vice President,2026-09-01,2026-09-01,0.1135,True,False,True,identical:28.78,False,True,8-K[3.02] 2026-09-04,https://www.sec.gov/Archives/edgar/data/1240367/0001193125-26-381959.txt | https://www.sec.gov/Archives/edgar/data/1767067/0001193125-26-381955.txt | https://www.sec.gov/Archives/edgar/data/1925309/0001193125-26-381956.txt | https://www.sec.gov/Archives/edgar/data/1925309/0001193125-26-381958.txt | https://www.sec.gov/Archives/edgar/data/1925309/0001193125-26-381963.txt
N/A,Fortress Net Lease REIT,0001966394,suspect,2,5000000.0,,2026-09-01,2026-09-01,1.0,False,False,False,single-buyer:10.7494,True,True,8-K[3.02] 2026-09-04,https://www.sec.gov/Archives/edgar/data/1838615/0000919574-26-006217.txt | https://www.sec.gov/Archives/edgar/data/1972890/0000919574-26-006190.txt
